#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
17910991|2017-12-23T22:01:15.410000|38.4948|15.6572|123.5|SURVEY-INGV||||ML|3.0|--|Costa Calabra sud-occidentale (Catanzaro, Vibo Valentia, Reggio di Calabria)
17912101|2017-12-24T04:12:49.860000|45.3005|14.8527|5.1|SURVEY-INGV||||ML|3.2|--|Costa Croata Settentrionale (CROAZIA)
17924881|2017-12-25T23:47:07.398000|38.7325|20.517|19.8|SURVEY-INGV-A||||mb|4.8|--|Costa Greca Ionica (GRECIA)
17928691|2017-12-26T11:45:40.910000|42.7332|13.1382|9.3|SURVEY-INGV||||ML|3.3|--|8 km SE Norcia (PG)
17968211|2018-01-02T11:07:36.910000|38.6993|14.2823|7.0|BULLETIN-INGV||||ML|3.3|--|Isole Eolie (Messina)
17968371|2018-01-02T11:24:32.500000|38.6975|14.29|6.6|SURVEY-INGV||||ML|3.0|--|Isole Eolie (Messina)
17979171|2018-01-04T10:46:12.496000|42.619|19.8865|10.1|SURVEY-INGV-A||||mb|5.2|--|Montenegro [Land]
17984361|2018-01-05T06:25:20.830000|38.4092|15.3865|157.0|SURVEY-INGV||||ML|3.1|--|Tirreno Meridionale (MARE)
17987841|2018-01-05T18:54:49.360000|42.9217|13.1553|9.0|SURVEY-INGV||||ML|3.1|--|3 km SE Ussita (MC)
18011481|2018-01-09T14:43:10.000000|38.432|14.254|20.2|SURVEY-INGV-CT||||ML|3.2|--|Isole Eolie (Messina)
18012231|2018-01-09T15:58:01.000000|38.417|14.444|19.0|SURVEY-INGV-CT||||ML|3.6|--|Isole Eolie (Messina)
18012181|2018-01-09T16:57:59.060000|38.5002|14.3378|21.6|BULLETIN-INGV||||ML|3.4|--|Isole Eolie (Messina)
18019191|2018-01-11T03:48:02.230000|42.6412|13.29|8.1|BULLETIN-INGV||||Mw|3.4|--|1 km N Amatrice (RI)
18054121|2018-01-16T10:49:36.440000|38.5932|11.972|18.9|BULLETIN-INGV||||ML|3.6|--|Tirreno Meridionale (MARE)
18062091|2018-01-17T10:22:19.720000|46.3163|13.5683|7.9|BULLETIN-INGV||||ML|3.9|--|Confine Italia-Slovenia (SLOVENIA)
18064691|2018-01-17T16:55:16.350000|43.0657|13.0262|8.7|SURVEY-INGV||||ML|3.0|--|2 km SW Muccia (MC)
18066971|2018-01-18T04:01:07.000000|43.0692|13.0247|9.5|SURVEY-INGV||||ML|3.1|--|2 km SW Muccia (MC)
18078281|2018-01-19T15:36:35.730000|43.0055|13.0262|8.0|SURVEY-INGV||||ML|3.2|--|2 km NE Monte Cavallo (MC)
18078791|2018-01-19T17:39:43.480000|46.4198|13.0562|9.2|BULLETIN-INGV||||ML|3.9|--|3 km E Tolmezzo (UD)
18129921|2018-01-27T18:29:13.470000|38.9632|16.3427|78.5|BULLETIN-INGV||||ML|3.7|--|2 km SE Lamezia Terme (CZ)
18144331|2018-01-29T19:02:39.110000|42.9348|13.1157|10.1|SURVEY-INGV||||ML|3.2|--|2 km E Visso (MC)
18161501|2018-02-01T01:47:32.660000|47.1813|9.9928|11.4|SURVEY-INGV||||ML|3.8|--|Confine Austria-Germania (AUSTRIA, GERMANIA)
18181591|2018-02-03T12:53:11.689000|43.3178|16.853|19.7|SURVEY-INGV-A||||mb|4.8|--|Costa Croata meridionale (CROAZIA)
18186621|2018-02-04T12:45:33.880000|42.6538|13.2992|11.1|SURVEY-INGV||||Mw|3.2|--|3 km NE Amatrice (RI)
18224991|2018-02-10T02:16:17.480000|38.2165|15.7562|17.0|BULLETIN-INGV||||Mw|3.7|--|2 km E San Roberto (RC)
18240301|2018-02-12T05:58:18.300000|39.4832|20.8115|96.2|SURVEY-INGV||||ML|3.9|--|Greece [Land]
18254151|2018-02-14T17:53:33.190000|39.0453|15.7463|106.0|SURVEY-INGV||||ML|3.1|--|Costa Calabra nord-occidentale (Cosenza)
18260231|2018-02-15T19:16:01.290000|40.3657|15.063|321.8|SURVEY-INGV||||ML|3.1|--|2 km NE Ogliastro Cilento (SA)
18263671|2018-02-16T11:21:48.520000|39.7797|15.5733|293.6|BULLETIN-INGV||||ML|4.0|--|Costa Calabra nord-occidentale (Cosenza)
18277491|2018-02-17T23:05:23.320000|43.4673|6.6593|18.1|SURVEY-INGV||||ML|3.0|--|Costa Francese (FRANCIA)
18278231|2018-02-18T01:13:47.000000|38.477|14.83|17.9|SURVEY-INGV-CT||||ML|3.4|--|Isole Eolie (Messina)
18279611|2018-02-18T04:47:22.540000|43.5737|6.6507|15.9|SURVEY-INGV||||ML|3.2|--|Near south coast of France [Land: France]
18300291|2018-02-21T23:44:56.137000|37.7402|20.4478|15.2|SURVEY-INGV-A||||mb|5.0|--|Costa Greca Ionica (GRECIA)
18300711|2018-02-22T04:33:25.040000|44.412|10.3673|10.0|SURVEY-INGV||||ML|3.3|--|4 km SW Castelnovo ne' Monti (RE)
18312961|2018-02-25T08:16:29.300000|46.3763|12.5938|7.7|BULLETIN-INGV||||ML|3.8|--|5 km S Forni di Sopra (UD)
18315171|2018-02-25T15:53:04.860000|46.3812|12.5987|7.0|BULLETIN-INGV||||ML|3.6|--|5 km SE Forni di Sopra (UD)
18315971|2018-02-25T17:40:14.130000|46.3797|12.6217|4.9|SURVEY-INGV||||ML|3.0|--|4 km W Forni di Sotto (UD)
18324141|2018-02-27T12:35:12.900000|37.8375|15.505|5.4|SURVEY-INGV||||ML|3.0|--|Stretto di Messina (Reggio di Calabria, Messina)
18360641|2018-03-05T21:50:35.890000|43.9293|11.9653|6.8|BULLETIN-INGV||||Mw|3.7|--|5 km E Santa Sofia (FC)
18379751|2018-03-07T20:15:15.400000|39.325|14.5012|379.0|BULLETIN-INGV||||ML|4.4|--|Tirreno Meridionale (MARE)
18383961|2018-03-08T08:50:47.000000|37.692|14.937|0.1|SURVEY-INGV-CT||||ML|3.3|--|7 km N Ragalna (CT)
18387591|2018-03-08T16:42:37.871000|36.9352|10.2568|19.5|SURVEY-INGV-A||||mb|4.7|--|Costa Tunisina (TUNISIA)
18389661|2018-03-08T22:48:46.260000|43.0608|13.0265|8.0|BULLETIN-INGV||||Mw|3.5|--|3 km NW Pieve Torina (MC)
18391191|2018-03-08T23:32:18.590000|43.0615|13.0268|7.8|BULLETIN-INGV||||Mw|3.3|--|3 km NW Pieve Torina (MC)
18434971|2018-03-13T12:59:28.000000|38.497|14.3|7.0|SURVEY-INGV-CT||||ML|3.1|--|Isole Eolie (Messina)
18439511|2018-03-14T06:42:46.660000|42.7447|13.4955|20.7|SURVEY-INGV||||ML|3.0|--|1 km N Valle Castellana (TE)
18478461|2018-03-19T17:46:41.000000|37.755|14.97|5.7|SURVEY-INGV-CT||||ML|3.1|--|12 km SE Maletto (CT)
18496321|2018-03-22T17:32:58.000000|39.186|16.3773|26.5|SURVEY-INGV||||ML|3.3|--|4 km NW Parenti (CS)
18497751|2018-03-22T23:40:24.660000|39.239|15.4663|267.4|BULLETIN-INGV||||ML|3.7|--|Tirreno Meridionale (MARE)
18502461|2018-03-23T16:50:29.010000|36.7163|12.723|21.8|SURVEY-INGV||||ML|3.0|--|Canale di Sicilia meridionale (MARE)
18504011|2018-03-23T23:31:56.810000|40.8003|17.6938|29.7|BULLETIN-INGV||||Mw|3.7|--|Costa Adriatica Brindisina (Brindisi)
18510781|2018-03-25T03:33:44.710000|43.0557|13.0387|8.6|SURVEY-INGV||||ML|3.0|--|2 km NW Pieve Torina (MC)
18525891|2018-03-26T22:43:07.650000|43.0465|12.8827|8.0|SURVEY-INGV||||Mw|3.2|--|6 km W Serravalle di Chienti (MC)
18530741|2018-03-27T13:29:49.170000|44.7817|7.2528|16.0|SURVEY-INGV||||ML|3.0|--|2 km S Lusernetta (TO)
