 19/01/11 12    39.626    42.903    61.242
 19/01/11 13    39.357    42.784    60.820
 19/01/11 14    39.252    42.194    60.877
 19/01/11 15    39.113    42.271    60.718
 19/01/11 16    39.479    42.544    61.951
 19/01/11 17    41.060    43.403    62.794
 19/01/11 18    41.904    44.362    64.046
 19/01/11 19    43.009    45.217    65.166
 19/01/11 20    43.336    45.281    65.234
 19/01/11 21    42.918    45.117    64.724
 19/01/11 22    42.789    45.473    64.778
 19/01/11 23    42.778    45.148    64.627
 20/01/11 00    42.598    45.018    64.473
 20/01/11 01    42.722    44.942    64.618
 20/01/11 02    42.622    44.817    64.126
 20/01/11 03    42.652    45.259    64.193
 20/01/11 04    42.659    45.304    63.668
 20/01/11 05    42.812    45.158    63.718
 20/01/11 06    42.842    45.993    64.038
 20/01/11 07    43.152    46.193    64.639
 20/01/11 08    43.292    46.278    64.419
 20/01/11 09    43.161    46.151    64.116
 20/01/11 10    42.657    45.508    63.205
 20/01/11 11    42.915    46.170    64.739
 20/01/11 12    43.717    46.274    64.954
 20/01/11 13    44.027    46.356    65.591
 20/01/11 14    44.820    47.333    66.394
 20/01/11 15    44.836    47.403    66.303
 20/01/11 16    44.812    47.008    65.934
 20/01/11 17    44.202    46.449    65.809
 20/01/11 18    44.563    46.415    65.544
 20/01/11 19    44.539    47.264    65.861
 20/01/11 20    44.810    46.426    66.399
 20/01/11 21    44.420    46.627    66.067
 20/01/11 22    44.258    46.738    65.994
 20/01/11 23    43.835    45.775    64.986
 21/01/11 00    43.378    45.850    64.367
 21/01/11 01    42.869    45.399    64.053
 21/01/11 02    42.486    45.457    63.578
 21/01/11 03    42.131    44.599    63.068
 21/01/11 04    42.101    44.687    63.113
 21/01/11 05    41.599    44.636    62.608
 21/01/11 06    41.819    44.336    62.678
 21/01/11 07    41.604    43.995    62.445
 21/01/11 08    41.556    44.571    62.455
 21/01/11 09    41.012    43.861    62.126
 21/01/11 10    40.802    43.706    61.398
 21/01/11 11    40.328    43.456    61.197
 21/01/11 12    39.958    43.193    60.887
 21/01/11 13    39.871    42.966    60.216
 21/01/11 14    39.626    42.816    60.522
 21/01/11 15    39.449    42.608    60.174
 21/01/11 16    40.025    43.223    60.666
 21/01/11 17    40.979    43.679    62.069
 21/01/11 18    43.012    46.199    66.021
 21/01/11 19    48.057    50.923    72.639
 21/01/11 20    50.140    52.489    74.542
 21/01/11 21    50.193    52.763    74.152
 21/01/11 22    49.628    52.040    73.394
 21/01/11 23    49.196    51.656    72.355
 22/01/11 00    49.027    50.851    71.957
 22/01/11 01    48.671    50.766    71.983
 22/01/11 02    48.417    50.596    71.552
 22/01/11 03    48.320    50.712    71.289
 22/01/11 04    48.533    50.719    71.389
 22/01/11 05    48.251    50.033    71.312
 22/01/11 06    48.171    50.525    71.576
 22/01/11 07    47.870    49.197    70.036
 22/01/11 08    45.943    48.899    67.596
 22/01/11 09    43.985    45.485    65.949
 22/01/11 10    42.830    45.764    64.606
 22/01/11 11    42.100    45.141    64.128
 22/01/11 12    41.185    44.762    63.099
 22/01/11 13    41.082    43.984    62.344
 22/01/11 14    40.645    43.578    61.651
 22/01/11 15    40.549    42.773    62.285
 22/01/11 16    40.429    42.504    61.472
 22/01/11 17    40.048    43.157    61.234
 22/01/11 18    40.239    43.003    61.336
 22/01/11 19    40.163    42.892    60.739
 22/01/11 20    39.903    42.931    61.303
 22/01/11 21    39.922    43.117    61.279
 22/01/11 22    40.112    42.562    61.674
 22/01/11 23    40.077    43.068    61.229
 23/01/11 00    40.207    42.799    61.077
 23/01/11 01    39.932    44.709    61.077
 23/01/11 02    40.237    43.427    61.278
 23/01/11 03    40.245    43.681    61.333
 23/01/11 04    40.356    43.187    61.748
 23/01/11 05    40.447    43.410    61.603
 23/01/11 06    40.738    43.815    61.616
 23/01/11 07    40.795    42.978    62.231
 23/01/11 08    40.695    43.561    61.995
 23/01/11 09    40.953    44.187    62.255
 23/01/11 10    41.048    44.077    62.689
 23/01/11 11    40.779    45.010    62.052
 23/01/11 12    41.171    44.070    61.644
 23/01/11 13    40.721    43.859    61.843
 23/01/11 14    40.476    43.387    60.760
 23/01/11 15    40.031    43.002    60.573
 23/01/11 16    39.824    42.810    60.455
 23/01/11 17    39.828    42.932    60.652
 23/01/11 18    39.965    42.963    61.217
 23/01/11 19    40.377    43.487    61.199
 23/01/11 20    40.577    43.603    61.497
 23/01/11 21    40.673    43.382    61.552
 23/01/11 22    40.459    43.455    61.072
 23/01/11 23    40.263    43.282    61.478
 24/01/11 00    40.495    43.119    61.289
 24/01/11 01    40.481    43.544    61.153
 24/01/11 02    40.335    43.334    60.814
 24/01/11 03    40.639    43.534    61.680
 24/01/11 04    40.421    43.513    61.632
 24/01/11 05    40.814    43.824    61.480
 24/01/11 06    40.577    43.463    61.644
 24/01/11 07    40.739    43.243    61.886
 24/01/11 08    40.670    43.643    61.037
 24/01/11 09    40.386    43.250    61.216
 24/01/11 10    40.190    43.205    61.083
 24/01/11 11    42.352    44.502    63.506
 24/01/11 12    42.373    44.880    63.801
 24/01/11 13    42.166    44.852    63.211
 24/01/11 14    41.603    44.407    62.998
 24/01/11 15    42.185    45.281    64.355
 24/01/11 16    42.391    45.261    63.720
 24/01/11 17    41.848    44.360    63.202
 24/01/11 18    41.100    43.888    62.219
 24/01/11 19    40.893    43.182    61.882
 24/01/11 20    40.467    42.905    61.707
 24/01/11 21    40.353    43.375    61.434
 24/01/11 22    40.193    42.864    61.196
 24/01/11 23    40.055    43.098    61.427
 25/01/11 00    40.061    42.868    61.446
 25/01/11 01    40.236    42.924    61.147
 25/01/11 02    39.903    42.599    60.668
 25/01/11 03    40.011    42.301    60.556
 25/01/11 04    39.867    42.840    60.936
 25/01/11 05    39.900    42.705    60.508
 25/01/11 06    39.842    42.551    60.261
 25/01/11 07    39.935    42.362    60.728
 25/01/11 08    40.059    42.228    60.680
 25/01/11 09    39.863    42.353    60.993
 25/01/11 10    39.807    42.321    61.339
 25/01/11 11    40.337    42.484    61.496
 25/01/11 12    41.296    44.171    63.226
 25/01/11 13    41.657    44.515    63.773
 25/01/11 14    41.163    43.478    62.926
 25/01/11 15    40.840    43.554    62.255
 25/01/11 16    40.500    43.352    61.834
 25/01/11 17    40.428    43.534    61.816
 25/01/11 18    40.290    43.336    61.619
 25/01/11 19    40.220    43.663    61.700
 25/01/11 20    39.959    43.121    61.286
 25/01/11 21    39.735    43.058    60.793
 25/01/11 22    39.801    43.211    61.191
 25/01/11 23    39.592    43.035    60.674
 26/01/11 00    39.559    43.023    60.522
 26/01/11 01    39.471    42.782    60.398
 26/01/11 02    39.561    43.188    60.450
 26/01/11 03    39.591    42.676    60.626
 26/01/11 04    39.428    42.662    60.081
 26/01/11 05    39.335    42.755    60.170
 26/01/11 06    39.469    42.674    60.688
 26/01/11 07    39.408    42.477    60.330
 26/01/11 08    39.401    42.781    60.367
 26/01/11 09    39.245    43.178    60.290
 26/01/11 10    39.567    43.374    60.435
 26/01/11 11    40.045    43.576    61.087
 26/01/11 12    40.750    44.003    61.365
 26/01/11 13    40.452    43.633    61.356
 26/01/11 14    39.834    43.065    60.541
 26/01/11 15    39.667    43.327    60.757
 26/01/11 16    40.199    44.223    61.537
 26/01/11 17    41.700    45.199    63.730
 26/01/11 18    41.730    45.078    63.465
 26/01/11 19    41.089    44.563    62.520
 26/01/11 20    40.818    44.292    61.854
 26/01/11 21    40.513    43.471    61.561
 26/01/11 22    40.169    43.582    60.849
 26/01/11 23    40.190    43.396    61.315
 27/01/11 00    40.076    43.501    61.060
 27/01/11 01    39.729    43.900    60.754
 27/01/11 02    39.872    43.108    60.408
 27/01/11 03    39.745    43.767    60.490
 27/01/11 04    39.594    43.495    61.061
 27/01/11 05    39.585    43.111    60.358
 27/01/11 06    39.442    43.472    60.287
 27/01/11 07    39.341    43.326    60.654
 27/01/11 08    39.214    43.497    59.872
 27/01/11 09    39.117    43.002    60.387
 27/01/11 10    39.378    43.285    59.976
 27/01/11 11    39.585    42.921    60.016
 27/01/11 12    39.604    43.132    60.549
 27/01/11 13    40.267    43.588    60.876
 27/01/11 14    40.139    43.884    61.007
 27/01/11 15    40.053    43.824    60.820
 27/01/11 16    39.437    43.558    60.390
 27/01/11 17    39.400    43.485    60.306
 27/01/11 18    39.514    43.218    60.556
 27/01/11 19    39.569    42.965    60.454
 27/01/11 20    39.546    41.697    60.161
 27/01/11 21    39.600    43.647    60.155
 27/01/11 22    39.402    43.535    60.384
 27/01/11 23    39.257    43.417    60.486
 28/01/11 00    39.482    43.402    60.083
 28/01/11 01    39.563    43.312    60.356
 28/01/11 02    39.512    43.647    60.468
 28/01/11 03    39.336    43.708    60.252
 28/01/11 04    39.379    43.449    60.202
 28/01/11 05    39.478    43.387    60.239
 28/01/11 06    39.406    43.319    60.792
 28/01/11 07    39.409    42.923    60.057
 28/01/11 08    39.355    43.200    59.794
 28/01/11 09    39.617    43.702    60.651
 28/01/11 10    39.934    43.621    62.055
 28/01/11 11    39.734    43.780    64.073
 28/01/11 12    39.478    43.458    55.932
 28/01/11 13    39.404    43.964    60.172
 28/01/11 14    39.252    43.158    60.641
 28/01/11 15    39.253    43.240    59.938
 28/01/11 16    39.299    43.198    59.981
 28/01/11 17    39.390    43.645    60.358
